"","Accession","Sample","ModifiedName","Insect","Color","ROW","SeqDepth"
"1","CC1-FLY1","CC1-FLY10","CaddisMT10","Caddis Fly, MT","Red",1,64694
"2","CC1-FLY10","CC1-FLY11","CaddisMT11","Caddis Fly, MT","Red",2,66091
"3","CC1-FLY11","CC1-FLY12","CaddisMT12","Caddis Fly, MT","Red",3,83682
"4","CC1-FLY12","CC1-FLY13_S4","CaddisMT13","Caddis Fly, MT","Red",4,66316
"5","CC1-FLY13","CC1-FLY14_S6","CaddisMT14","Caddis Fly, MT","Red",5,35559
"6","ERR4551874","ERR4551874","CinnMoth1","Cinnabar Moth","Orange",25,35950
"7","ERR4551875","ERR4551875","CinnMoth2","Cinnabar Moth","Orange",26,33898
"8","ERR4551876","ERR4551876","CinnMoth3","Cinnabar Moth","Orange",27,97358
"9","ERR4551877","ERR4551877","CinnMoth4","Cinnabar Moth","Orange",28,36748
"10","ERR4551878","ERR4551878","CinnMoth5","Cinnabar Moth","Orange",29,43277
"11","ERR4551879","ERR4551879","CinnMoth6","Cinnabar Moth","Orange",30,30158
"12","SRR10448834","SRR10448834","FruitFly1","Fruit Fly","Blue",49,1602875
"13","SRR10448835","SRR10448835","FruitFly2","Fruit Fly","Blue",50,2245397
"14","SRR10448836","SRR10448836","FruitFly3","Fruit Fly","Blue",51,1515312
"15","SRR10448846","SRR10448846","FruitFly4","Fruit Fly","Blue",61,166410
"16","SRR10448847","SRR10448847","FruitFly5","Fruit Fly","Blue",62,14087
"17","SRR9215604","SRR9215604","CraneFly1","Crane Fly","Green",65,49995
"18","SRR9215605","SRR9215605","CraneFly2","Crane Fly","Green",66,84545
"19","SRR9215606","SRR9215606","CraneFly3","Crane Fly","Green",67,6301
"20","SRR9215610","SRR9215610","Predator","Insect Predator","Black",71,31125
"21","SRR9215614","SRR9215614","CaddisItaly1","Caddis Fly, Italy","Red",75,45448
"22","SRR9215615","SRR9215615","CaddisItaly2","Caddis Fly, Italy","Red",76,25286
"23","SRR9215616","SRR9215616","CaddisItaly3","Caddis Fly, Italy","Red",77,52885
"24","SRR9215619","SRR9215619","CaddisItaly4","Caddis Fly, Italy","Red",80,54821
"25","SRR9215621","SRR9215621","MayFlyItaly1","May Fly","Grey",82,6762
"26","SRR9215622","SRR9215622","MayFlyItaly2","May Fly","Grey",83,12706
"27","SRR9215623","SRR9215623","MayFlyItaly3","May Fly","Grey",84,7664
"28","SRR9215624","SRR9215624","MayFlyItaly4","May Fly","Grey",85,24654
