"Comparison"	"Gene"	"diff"	"adj.p_value"
"1"	"net-fly"	"acsB"	-0.032125215	0.266363831893161
"2"	"retreat-fly"	"acsB"	-0.0331075775	0.24459561808463
"3"	"rock-fly"	"acsB"	-0.0331075775	0.244595618084631
"4"	"retreat-net"	"acsB"	-0.000982362499999994	0.999921639131943
"5"	"rock-net"	"acsB"	-0.000982362499999986	0.999921639131943
"6"	"rock-retreat"	"acsB"	8.67361737988404e-18	1
"7"	"net-fly"	"aclB"	-0.0480479505	0.266363828901246
"8"	"retreat-fly"	"aclB"	-0.0495172169999999	0.244595616341459
"9"	"rock-fly"	"aclB"	-0.049517217	0.244595616341459
"10"	"retreat-net"	"aclB"	-0.00146926649999999	0.999921639143764
"11"	"rock-net"	"aclB"	-0.0014692665	0.999921639143764
"12"	"rock-retreat"	"aclB"	-6.93889390390723e-18	1
"13"	"net-fly"	"amoA"	0.00314256475	0.705649399657164
"14"	"retreat-fly"	"amoA"	0.0045471865	0.431112478909264
"15"	"rock-fly"	"amoA"	-2.71050543121376e-19	1
"16"	"retreat-net"	"amoA"	0.00140462175	0.961133732347978
"17"	"rock-net"	"amoA"	-0.00314256475	0.705649399657164
"18"	"rock-retreat"	"amoA"	-0.0045471865	0.431112478909264
"19"	"net-fly"	"aro"	0.020020035	0.370626365700697
"20"	"retreat-fly"	"aro"	0.01742849375	0.483480106004129
"21"	"rock-fly"	"aro"	0.0370895185	0.0379082082611393
"22"	"retreat-net"	"aro"	-0.00259154125	0.996106893389789
"23"	"rock-net"	"aro"	0.0170694835	0.500249318141178
"24"	"rock-retreat"	"aro"	0.01966102475	0.385278955879281
"25"	"net-fly"	"arsC"	-0.00840317424999992	0.999986167620397
"26"	"retreat-fly"	"arsC"	0.37867988725	0.471342336319215
"27"	"rock-fly"	"arsC"	0.2790650635	0.696381755145481
"28"	"retreat-net"	"arsC"	0.3870830615	0.453483024260067
"29"	"rock-net"	"arsC"	0.28746823775	0.677339519810243
"30"	"rock-retreat"	"arsC"	-0.0996148237500001	0.978531068581914
"31"	"net-fly"	"asrA"	-0.0587989835	0.0694578412197682
"32"	"retreat-fly"	"asrA"	-0.0587989835	0.0694578412197684
"33"	"rock-fly"	"asrA"	-0.0587989835	0.0694578412197685
"34"	"retreat-net"	"asrA"	-1.73472347597681e-17	1
"35"	"rock-net"	"asrA"	2.08166817117217e-17	1
"36"	"rock-retreat"	"asrA"	3.81639164714898e-17	1
"37"	"net-fly"	"atpA"	0.0661244922499997	0.986548528706095
"38"	"retreat-fly"	"atpA"	0.2137956605	0.708195036429003
"39"	"rock-fly"	"atpA"	0.1386688145	0.8951708034073
"40"	"retreat-net"	"atpA"	0.14767116825	0.876912260572287
"41"	"rock-net"	"atpA"	0.0725443222500002	0.982421775126156
"42"	"rock-retreat"	"atpA"	-0.0751268459999999	0.980563404516137
"43"	"net-fly"	"cbb3"	0.74949830925	8.47842707746294e-05
"44"	"retreat-fly"	"cbb3"	1.04077474325	2.98033229706451e-06
"45"	"rock-fly"	"cbb3"	0.467342297	0.0049136141558016
"46"	"retreat-net"	"cbb3"	0.291276434	0.0817713868289701
"47"	"rock-net"	"cbb3"	-0.28215601225	0.094112203091462
"48"	"rock-retreat"	"cbb3"	-0.57343244625	0.000968520572246501
"49"	"net-fly"	"coos"	-0.053383531	0.0585182654289248
"50"	"retreat-fly"	"coos"	-0.053516557	0.0578027783790418
"51"	"rock-fly"	"coos"	-0.05518827375	0.0494959693822835
"52"	"retreat-net"	"coos"	-0.000133026000000005	0.999999859509069
"53"	"rock-net"	"coos"	-0.00180474275000001	0.999650722839158
"54"	"rock-retreat"	"coos"	-0.00167171675	0.999722229920699
"55"	"net-fly"	"coxA"	0.47246780625	0.147272454966059
"56"	"retreat-fly"	"coxA"	0.86517664825	0.00534266783753479
"57"	"rock-fly"	"coxA"	0.654137361999999	0.0326024965696691
"58"	"retreat-net"	"coxA"	0.392708842	0.266781029751182
"59"	"rock-net"	"coxA"	0.18166955575	0.808680512014631
"60"	"rock-retreat"	"coxA"	-0.21103928625	0.731736968407253
"61"	"net-fly"	"CoxL"	-0.2066798915	0.254138288192141
"62"	"retreat-fly"	"CoxL"	-0.0477142959999999	0.967688965179151
"63"	"rock-fly"	"CoxL"	0.039869265	0.980610354072888
"64"	"retreat-net"	"CoxL"	0.1589655955	0.461477139429402
"65"	"rock-net"	"CoxL"	0.2465491565	0.142508488953684
"66"	"rock-retreat"	"CoxL"	0.0875835609999999	0.838238975265915
"67"	"net-fly"	"cyc2"	1.62630325872826e-18	1
"68"	"retreat-fly"	"cyc2"	0.0128661485	0.126956477901921
"69"	"rock-fly"	"cyc2"	0.00107521625	0.996927789492327
"70"	"retreat-net"	"cyc2"	0.0128661485	0.126956477901921
"71"	"rock-net"	"cyc2"	0.00107521625	0.996927789492327
"72"	"rock-retreat"	"cyc2"	-0.01179093225	0.17489205642077
"73"	"net-fly"	"cyoA"	-0.00550959499999999	0.798221279727748
"74"	"retreat-fly"	"cyoA"	-0.00550959499999999	0.798221279727748
"75"	"rock-fly"	"cyoA"	0.001001893	0.998275592595725
"76"	"retreat-net"	"cyoA"	1.30104260698261e-18	1
"77"	"rock-net"	"cyoA"	0.006511488	0.707871148466213
"78"	"rock-retreat"	"cyoA"	0.006511488	0.707871148466213
"79"	"net-fly"	"cytbd"	-0.0146681112500001	0.999604266237905
"80"	"retreat-fly"	"cytbd"	0.159674344	0.693876721575677
"81"	"rock-fly"	"cytbd"	0.111882825	0.864819310886912
"82"	"retreat-net"	"cytbd"	0.17434245525	0.635103904613615
"83"	"rock-net"	"cytbd"	0.12655093625	0.817561602853419
"84"	"rock-retreat"	"cytbd"	-0.047791519	0.986926102042249
"85"	"net-fly"	"dsrA"	-0.02206549175	0.766753111065249
"86"	"retreat-fly"	"dsrA"	-0.00750333249999999	0.986865894881066
"87"	"rock-fly"	"dsrA"	-0.0473211015	0.211814770624785
"88"	"retreat-net"	"dsrA"	0.01456215925	0.916180291158022
"89"	"rock-net"	"dsrA"	-0.02525560975	0.688149490655871
"90"	"rock-retreat"	"dsrA"	-0.039817769	0.339116867127382
"91"	"net-fly"	"fcc"	0.03648840025	0.886658537229163
"92"	"retreat-fly"	"fcc"	0.0924385214999999	0.3079254538913
"93"	"rock-fly"	"fcc"	0.00890714649999996	0.997948045066681
"94"	"retreat-net"	"fcc"	0.0559501212499999	0.692624921956029
"95"	"rock-net"	"fcc"	-0.02758125375	0.946037696882062
"96"	"rock-retreat"	"fcc"	-0.083531375	0.388601271334206
"97"	"net-fly"	"FeFe_hyd"	-0.75768775475	4.04631883554885e-12
"98"	"retreat-fly"	"FeFe_hyd"	-0.7356023295	5.5166982093624e-12
"99"	"rock-fly"	"FeFe_hyd"	-0.77708120075	3.22941673402966e-12
"100"	"retreat-net"	"FeFe_hyd"	0.0220854252499999	0.82677304362749
"101"	"rock-net"	"FeFe_hyd"	-0.0193934460000001	0.874152760647854
"102"	"rock-retreat"	"FeFe_hyd"	-0.04147887125	0.410367226185149
"103"	"net-fly"	"Fe_hyd"	0	NA
"104"	"retreat-fly"	"Fe_hyd"	0	NA
"105"	"rock-fly"	"Fe_hyd"	0	NA
"106"	"retreat-net"	"Fe_hyd"	0	NA
"107"	"rock-net"	"Fe_hyd"	0	NA
"108"	"rock-retreat"	"Fe_hyd"	0	NA
"109"	"net-fly"	"frdA"	-0.009428092	0.993126329564518
"110"	"retreat-fly"	"frdA"	0.05713331275	0.411107365604312
"111"	"rock-fly"	"frdA"	-0.019673765	0.943878838289795
"112"	"retreat-net"	"frdA"	0.06656140475	0.289707672287613
"113"	"rock-net"	"frdA"	-0.010245673	0.991230316510896
"114"	"rock-retreat"	"frdA"	-0.07680707775	0.189762100108875
"115"	"net-fly"	"hbsC"	0	NA
"116"	"retreat-fly"	"hbsC"	0	NA
"117"	"rock-fly"	"hbsC"	0	NA
"118"	"retreat-net"	"hbsC"	0	NA
"119"	"rock-net"	"hbsC"	0	NA
"120"	"rock-retreat"	"hbsC"	0	NA
"121"	"net-fly"	"hbsT"	4.87890977618477e-19	1
"122"	"retreat-fly"	"hbsT"	0.0053871235	0.0415290089568645
"123"	"rock-fly"	"hbsT"	5.42101086242752e-20	1
"124"	"retreat-net"	"hbsT"	0.0053871235	0.0415290089568645
"125"	"rock-net"	"hbsT"	-4.33680868994202e-19	1
"126"	"rock-retreat"	"hbsT"	-0.0053871235	0.0415290089568645
"127"	"net-fly"	"hzsa"	0	NA
"128"	"retreat-fly"	"hzsa"	0	NA
"129"	"rock-fly"	"hzsa"	0	NA
"130"	"retreat-net"	"hzsa"	0	NA
"131"	"rock-net"	"hzsa"	0	NA
"132"	"rock-retreat"	"hzsa"	0	NA
"133"	"net-fly"	"isop_monooxy"	0.00159290125	0.947375104216891
"134"	"retreat-fly"	"isop_monooxy"	-4.33680868994202e-19	1
"135"	"rock-fly"	"isop_monooxy"	0.00385233975	0.576045101341979
"136"	"retreat-net"	"isop_monooxy"	-0.00159290125	0.947375104216891
"137"	"rock-net"	"isop_monooxy"	0.0022594385	0.867914200776936
