"Comparison"	"Gene"	"diff"	"adj.p_value"
"21"	"rock-fly"	"aro"	0.0370895185	0.0379082082611393
"43"	"net-fly"	"cbb3"	0.74949830925	8.47842707746294e-05
"44"	"retreat-fly"	"cbb3"	1.04077474325	2.98033229706451e-06
"45"	"rock-fly"	"cbb3"	0.467342297	0.0049136141558016
"48"	"rock-retreat"	"cbb3"	-0.57343244625	0.000968520572246501
"51"	"rock-fly"	"coos"	-0.05518827375	0.0494959693822835
"56"	"retreat-fly"	"coxA"	0.86517664825	0.00534266783753479
"57"	"rock-fly"	"coxA"	0.654137361999999	0.0326024965696691
"97"	"net-fly"	"FeFe_hyd"	-0.75768775475	4.04631883554885e-12
"98"	"retreat-fly"	"FeFe_hyd"	-0.7356023295	5.5166982093624e-12
"99"	"rock-fly"	"FeFe_hyd"	-0.77708120075	3.22941673402966e-12
"110"	"retreat-fly"	"hbsT"	0.0053871235	0.0415290089568645
"112"	"retreat-net"	"hbsT"	0.0053871235	0.0415290089568645
"114"	"rock-retreat"	"hbsT"	-0.0053871235	0.0415290089568645
"121"	"net-fly"	"malonylCoA_red"	0.01119718275	0.00357123568583873
"122"	"retreat-fly"	"malonylCoA_red"	0.00762205875	0.0430665036172957
"139"	"net-fly"	"narG"	0.16982555825	0.00344352989610974
"140"	"retreat-fly"	"narG"	0.23461902775	0.000222042565954816
"144"	"rock-retreat"	"narG"	-0.1621520105	0.00487323834351294
"145"	"net-fly"	"NiFe_hyd"	-0.24206294525	0.0327447057585142
"147"	"rock-fly"	"NiFe_hyd"	-0.35953432925	0.00221719535197951
"150"	"rock-retreat"	"NiFe_hyd"	-0.2616519235	0.0207720141849238
"157"	"net-fly"	"nirK"	0.1985672625	0.00908996632805992
"158"	"retreat-fly"	"nirK"	0.22954902975	0.00315932115587014
"159"	"rock-fly"	"nirK"	0.179834352	0.0174212713682351
"163"	"net-fly"	"nirS"	0.0573627285	0.022018587715722
"164"	"retreat-fly"	"nirS"	0.0646579482499999	0.0102392699419146
"169"	"net-fly"	"nosZ"	0.16076845	0.0483490686287242
"170"	"retreat-fly"	"nosZ"	0.19992311275	0.0135541094821667
"175"	"net-fly"	"nrfA"	-0.0561592465	0.0198091394210339
"176"	"retreat-fly"	"nrfA"	-0.050303883	0.0375044550059912
"177"	"rock-fly"	"nrfA"	-0.06095435325	0.0117382156378413
"219"	"rock-fly"	"rdhA"	0.058069296	0.0285482353916113
"223"	"net-fly"	"rho"	0.28421121575	0.0197348905862077
"224"	"retreat-fly"	"rho"	0.2892033185	0.0177174208977809
"247"	"net-fly"	"ygfK"	-0.05647014275	1.36249585804826e-05
"248"	"retreat-fly"	"ygfK"	-0.039758206	0.000404599330806943
"249"	"rock-fly"	"ygfK"	-0.05134919775	3.56819915912077e-05
