	type	acsB	aclB	amoA	aro	arsC	asrA	atpA	cbb3	coos	coxA	CoxL	cyc2	cyoA	cytbd	dsrA	fcc	FeFe_hyd	Fe_hyd	frdA	hbsC	hbsT	hzsa	isop_monooxy	malonylCoA_red	mcrA	mmoA	mtrB	napA	narG	NiFe_hyd	nifH	nirK	nirS	nosZ	nrfA	nuoF	nxrA	omcB	pmoA	psaA	psbA	rbcL	rdhA	rho	sdhA	sor	soxB	sqr	ygfK
00_FLY17	fly	0.0997189	0.149144177	0	0	0.446709742	0.020612595	1.996269159	0.424940393	0.11965686	0.937519158	0.360549213	0	0.02203838	0.451176377	0.066474036	0.24637027	0.831236081	0	0.116828643	0	0	0	0	0	0	0	0	0.033925619	0.022917046	0.404590067	0.073782001	0.015526488	0	0.021243814	0.073591788	1.882271055	0	0	0.140600286	0.038004384	0.12525222	0.323398269	0	0.081339187	1.628700517	0	0.368588151	0.200035861	0.055155291
00_FLY1	fly	0	0	0	0.021975943	0.518098972	0.054643928	1.908037392	0.488156821	0.028837271	0.833903868	0.396313499	0	0	0.578742222	0.132166857	0.326563433	0.872260084	0	0.108399337	0	0	0	0	0	0	0	0	0.067452538	0.075941277	0.536283543	0.032599312	0.041160674	0.032519801	0.05631729	0.11705497	1.663298357	0	0	0.037273095	0.025187378	0.193691907	0.194847242	0	0.071876649	1.535513069	0	0.390850444	0.220956035	0.073108257
00_FLY22	fly	0	0	0	0	0.588084191	0.144725637	2.526739361	0.39781354	0	1.255877762	0.49395057	0	0	0.919686852	0	0.403624847	0.729536808	0	0.123042005	0	0	0	0	0	0	0	0	0.059549841	0	0.587734627	0.086339989	0.054507473	0.043064702	0.037289393	0.051670441	2.092508968	0	0	0.098718606	0.133418642	0.073285321	0.46445146	0	0.095183438	2.053552828	0	0.47445564	0.292603443	0.072610806
00_FLY9	fly	0.03271141	0.048924691	0	0	0.412135234	0.015213774	1.794151453	0.47046095	0.072258964	0.874061718	0.240152287	0	0	0.343747023	0.024531628	0.242455111	0.766899946	0	0.043114529	0	0	0	0	0	0	0	0	0.075119614	0.054972603	0.329512204	0.036304752	0.045839253	0.027162153	0.031359332	0.07604343	1.690277776	0	0	0.145284254	0.056100664	0.123261792	0.249544012	0.010757659	0.060034948	1.261372812	0	0.317389435	0.159946328	0.066152285
01_SWAB12	rock	0	0	0	0.023788424	0.640948059	0	2.149838887	0.785852262	0	1.34517121	0.34488214	0	0	0.542944477	0	0.290653075	0.033129837	0	0.033525614	0	0	0	0	0.002754046	0	0	0	0.036507867	0.115086422	0.113433752	0.035287963	0.141092195	0.04693586	0.167645771	0.042236387	1.973026073	0.008773725	0	0.147939805	0.072705933	0.279555713	0.175764505	0.041825476	0.064837272	1.755411852	0	0.505352856	0.231206889	0.016487065
01_SWAB15	rock	0	0	0	0.06368134	0.36295994	0	1.749398819	0.878874031	0	1.290239692	0.098733576	0	0.026045952	0.5590216	0	0.252348635	0.020466506	0	0.034518341	0	0	0	0	0.003402716	0	0	0	0.030071121	0.088024296	0.049465117	0.087198898	0.110099425	0.036244258	0.025106899	0	1.130814377	0	0	0	0.353707959	2.417802522	0.547250456	0.008612794	0.46462989	1.172545126	0	0.254108231	0.137906654	0
01_SWAB1	rock	0	0	0	0.012355189	0.499341688	0	2.570494162	0.928903448	0	2.004029892	0.642226044	0	0	0.824288791	0.024768699	0.391677082	0	0	0.174124736	0	0	0	0	0.00858235	0	0	0	0.063204636	0.119546761	0.103967682	0.146622394	0.254552318	0.054849292	0.063324772	0	2.150799285	0	0	0.33528747	0.48146394	1.835681504	0.657275437	0.108616206	0.08082016	2.205229221	0	0.622601511	0.397518857	0.020551254
01_SWAB3	rock	0	0	0	0.070509064	1.578038706	0	2.310140755	1.057111151	0	1.87847116	0.564600869	0.004300865	0	0.814628906	0.009119416	0.319963455	0.038011773	0	0.070520763	0	0	0	0.015409359	0.004739814	0	0	0	0.055850109	0.121041516	0.153116573	0.080975831	0.370627358	0.047120692	0.128233109	0.032306829	2.478953561	0	0	0.162024423	0.08341971	0.532674762	0.201664755	0.083980367	0.409153483	2.102201503	0	0.660725664	0.425357948	0.024591529
02_NET15	net	0	0	0	0.036710635	0.353257204	0	2.061904727	1.308323692	0	1.506188953	0.172463811	0	0	0.524825714	0.031540524	0.342899277	0.02191133	0	0.059128234	0	0	0	0	0.014571715	0	0	0	0.016096989	0.25734313	0.132392709	0.046677332	0.275034296	0.069845227	0.141116368	0.018622798	1.458726399	0	0	0	0.318570216	1.281036507	0.688180432	0	0.377360853	1.436725071	0	0.3886384	0.253100758	0.00436167
02_NET16	net	0.00392945	0.005877066	0	0.023519335	0.495076409	0	2.056489159	1.054928054	0	1.404327428	0.208954767	0	0	0.593580037	0.023574845	0.372798195	0.061415775	0	0.120155628	0	0	0	0	0.01021085	0	0	0	0.036094899	0.22960105	0.252338886	0.078499786	0.154180003	0.069607398	0.113010955	0.005219827	1.490845019	0	0	0.009972705	0.481844088	1.191946726	0.750713609	0.010338089	0.365391935	1.334207939	0	0.492374265	0.319239896	0.012225425
