"","Sample_NAME","TYPE","COLOR","lty"
"1","CC1-FLY1","FLY","black","solid"
"12","CC1-FLY2","FLY","black","solid"
"19","CC1-FLY3","FLY","black","solid"
"35","CC1-NET2","NET","red","dashed"
"42","CC1-NET3","NET","red","dashed"
"43","CC1-NET4","NET","red","dashed"
"48","CC1-RETR1","RETREAT","orange","longdash"
"59","CC1-RETR2","RETREAT","orange","longdash"
"65","CC1-RETR3","RETREAT","orange","longdash"
"72","CC1-SWAB1","SWAB","blue","dotdash"
"82","CC1-SWAB2","SWAB","blue","dotdash"
"89","CC1-SWAB3","SWAB","blue","dotdash"
