Sample ,Insect,Color,Bioproject
CC1-FLY10,"Caddis Fly, MT",Red,This study
CC1-FLY11,"Caddis Fly, MT",Red,This study
CC1-FLY12,"Caddis Fly, MT",Red,This study
CC1-FLY13_S4,"Caddis Fly, MT",Red,This study
CC1-FLY14_S6,"Caddis Fly, MT",Red,This study
CC1-FLY15_S22,"Caddis Fly, MT",Red,This study
CC1-FLY16_S86,"Caddis Fly, MT",Red,This study
CC1-FLY17_S69,"Caddis Fly, MT",Red,This study
CC1-FLY18_S63,"Caddis Fly, MT",Red,This study
CC1-FLY19_S81,"Caddis Fly, MT",Red,This study
CC1-FLY1_S13,"Caddis Fly, MT",Red,This study
CC1-FLY20_S7,"Caddis Fly, MT",Red,This study
CC1-FLY21_S38,"Caddis Fly, MT",Red,This study
CC1-FLY22_S78,"Caddis Fly, MT",Red,This study
CC1-FLY23_S39,"Caddis Fly, MT",Red,This study
CC1-FLY24_S50,"Caddis Fly, MT",Red,This study
CC1-FLY25_S48,"Caddis Fly, MT",Red,This study
CC1-FLY2_S53,"Caddis Fly, MT",Red,This study
CC1-FLY3_S41,"Caddis Fly, MT",Red,This study
CC1-FLY4_S12,"Caddis Fly, MT",Red,This study
CC1-FLY5_S90,"Caddis Fly, MT",Red,This study
CC1-FLY6_S17,"Caddis Fly, MT",Red,This study
CC1-FLY7_S44,"Caddis Fly, MT",Red,This study
CC1-FLY9_S14,"Caddis Fly, MT",Red,This study
ERR4551874,Cinnabar Moth,Orange,PRJEB40063
ERR4551875,Cinnabar Moth,Orange,PRJEB40063
ERR4551876,Cinnabar Moth,Orange,PRJEB40063
ERR4551877,Cinnabar Moth,Orange,PRJEB40063
ERR4551878,Cinnabar Moth,Orange,PRJEB40063
ERR4551879,Cinnabar Moth,Orange,PRJEB40063
ERR4551880,Cinnabar Moth,Orange,PRJEB40063
ERR4551881,Cinnabar Moth,Orange,PRJEB40063
ERR4551882,Cinnabar Moth,Orange,PRJEB40063
ERR4551883,Cinnabar Moth,Orange,PRJEB40063
ERR4551884,Cinnabar Moth,Orange,PRJEB40063
ERR4551885,Cinnabar Moth,Orange,PRJEB40063
ERR4551886,Cinnabar Moth,Orange,PRJEB40063
ERR4551887,Cinnabar Moth,Orange,PRJEB40063
ERR4551888,Cinnabar Moth,Orange,PRJEB40063
ERR4551889,Cinnabar Moth,Orange,PRJEB40063
ERR4551890,Cinnabar Moth,Orange,PRJEB40063
ERR4551891,Cinnabar Moth,Orange,PRJEB40063
ERR4551892,Cinnabar Moth,Orange,PRJEB40063
ERR4551893,Cinnabar Moth,Orange,PRJEB40063
SRR10448830,Fruit Fly,Blue,PRJNA589709
SRR10448831,Fruit Fly,Blue,PRJNA589709
SRR10448832,Fruit Fly,Blue,PRJNA589709
SRR10448833,Fruit Fly,Blue,PRJNA589709
SRR10448834,Fruit Fly,Blue,PRJNA589709
SRR10448835,Fruit Fly,Blue,PRJNA589709
SRR10448836,Fruit Fly,Blue,PRJNA589709
SRR10448837,Fruit Fly,Blue,PRJNA589709
SRR10448838,Fruit Fly,Blue,PRJNA589709
SRR10448839,Fruit Fly,Blue,PRJNA589709
SRR10448840,Fruit Fly,Blue,PRJNA589709
SRR10448841,Fruit Fly,Blue,PRJNA589709
SRR10448842,Fruit Fly,Blue,PRJNA589709
SRR10448843,Fruit Fly,Blue,PRJNA589709
SRR10448844,Fruit Fly,Blue,PRJNA589709
SRR10448845,Fruit Fly,Blue,PRJNA589709
SRR10448846,Fruit Fly,Blue,PRJNA589709
SRR10448847,Fruit Fly,Blue,PRJNA589709
SRR10448848,Fruit Fly,Blue,PRJNA589709
SRR10448849,Fruit Fly,Blue,PRJNA589709
SRR9215604,Crane Fly,Green,PRJNA547724
SRR9215605,Crane Fly,Green,PRJNA547724
SRR9215606,Crane Fly,Green,PRJNA547724
SRR9215607,Crane Fly,Green,PRJNA547724
SRR9215608,Crane Fly,Green,PRJNA547724
SRR9215609,Stone Fly,Purple,PRJNA547724
SRR9215610,Insect Predator,Black,PRJNA547724
SRR9215611,Stone Fly,Green,PRJNA547724
SRR9215612,Stone Fly,Green,PRJNA547724
SRR9215613,Stone Fly,Green,PRJNA547724
SRR9215614,"Caddis Fly, Italy",Red,PRJNA547724
SRR9215615,"Caddis Fly, Italy",Red,PRJNA547724
SRR9215616,"Caddis Fly, Italy",Red,PRJNA547724
SRR9215617,Insect Predator,Black,PRJNA547724
SRR9215618,Crane Fly,Green,PRJNA547724
SRR9215619,"Caddis Fly, Italy",Red,PRJNA547724
SRR9215620,Crane Fly,Green,PRJNA547724
SRR9215621,May Fly,Grey,PRJNA547724
SRR9215622,May Fly,Grey,PRJNA547724
SRR9215623,May Fly,Grey,PRJNA547724
SRR9215624,May Fly,Grey,PRJNA547724
SRR9215625,May Fly,Grey,PRJNA547724
SRR9215626,May Fly,Grey,PRJNA547724
SRR9215627,May Fly,Grey,PRJNA547724
SRR9215628,May Fly,Grey,PRJNA547724
SRR9215629,May Fly,Grey,PRJNA547724
