,Sample,NameMod,Insect,Color,ROW,depth
CC1-FLY1,CC1-FLY10,CaddisMT10,"Caddis Fly, MT",Red,1,64694
CC1-FLY10,CC1-FLY11,CaddisMT11,"Caddis Fly, MT",Red,2,66091
CC1-FLY11,CC1-FLY12,CaddisMT12,"Caddis Fly, MT",Red,3,83682
CC1-FLY12,CC1-FLY13_S4,CaddisMT13,"Caddis Fly, MT",Red,4,66316
CC1-FLY13,CC1-FLY14_S6,CaddisMT14,"Caddis Fly, MT",Red,5,35559
ERR4551875,ERR4551875,CinnabarMoth1,Cinnabar Moth,Orange,26,33898
ERR4551876,ERR4551876,CinnabarMoth2,Cinnabar Moth,Orange,27,97358
ERR4551877,ERR4551877,CinnabarMoth3,Cinnabar Moth,Orange,28,36748
ERR4551878,ERR4551878,CinnabarMoth4,Cinnabar Moth,Orange,29,43277
ERR4551879,ERR4551879,CinnabarMoth5,Cinnabar Moth,Orange,30,30158
SRR10448834,SRR10448834,FruitFly1,Fruit Fly,Blue,49,1602875
SRR10448835,SRR10448835,FruitFly2,Fruit Fly,Blue,50,2245397
SRR10448836,SRR10448836,FruitFly3,Fruit Fly,Blue,51,1515312
SRR10448846,SRR10448846,FruitFly4,Fruit Fly,Blue,61,166410
SRR10448847,SRR10448847,FruitFly5,Fruit Fly,Blue,62,14087
SRR9215604,SRR9215604,CraneFly1,Crane Fly,Green,65,49995
SRR9215605,SRR9215605,CraneFly2,Crane Fly,Green,66,84545
SRR9215606,SRR9215606,CraneFly3,Crane Fly,Green,67,6301
SRR9215607,SRR9215607,CraneFly4,Crane Fly,Green,68,97729
SRR9215608,SRR9215608,CraneFly5,Crane Fly,Green,69,29987
SRR9215610,SRR9215610,Dictyogenus1,Insect Predator,Black,71,31125
SRR9215617,SRR9215617,Dictyogenus2,Insect Predator,Black,78,54574
SRR9215614,SRR9215614,CaddisItaly1,"Caddis Fly, Italy",Red,75,45448
SRR9215615,SRR9215615,CaddisItaly2,"Caddis Fly, Italy",Red,76,25286
SRR9215616,SRR9215616,CaddisItaly3,"Caddis Fly, Italy",Red,77,52885
SRR9215619,SRR9215619,CaddisItaly4,"Caddis Fly, Italy",Red,80,54821
SRR9215621,SRR9215621,MayFly1,May Fly,Grey,82,6762
SRR9215622,SRR9215622,MayFly2,May Fly,Grey,83,12706
SRR9215623,SRR9215623,MayFly3,May Fly,Grey,84,7664
SRR9215624,SRR9215624,MayFly4,May Fly,Grey,85,24654
SRR9215625,SRR9215625,MayFly5,May Fly,Grey,86,19288
