bin name	domain	confidence	% completion	% redundancy	num_splits	total length	bin_name	total_scgs	supporting_scgs	t_domain	t_phylum	t_class	t_order	t_family	t_genus	t_species
FLY17.001	EUKARYA	0.2	10.84	4.82	2386	16480909	FLY17.001	2	2	Archaea	None	None	None	None	None	None
FLY17.002	BLANK	0.7	0.00	0.00	5563	34403522	FLY17.002	0	0	None	None	None	None	None	None	None
FLY17.003	BLANK	0.8	0.00	0.00	9077	35722659	FLY17.003	1	1	Archaea	Thermoproteota	Bathyarchaeia	B26-1	B26-1	B63	B63 sp003601695
FLY17.004	BACTERIA	1.0	100.00	16.90	918	3661054	FLY17.004	23	22	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
FLY17.005	BACTERIA	1.0	100.00	70.42	1346	4777690	FLY17.005	16	3	Bacteria	Firmicutes	Clostridia	Lachnospirales	UBA5962	UBA5962	UBA5962 sp002430285
FLY17.006	BACTERIA	1.0	92.96	12.68	410	1873934	FLY17.006	21	3	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	UBA1877	UBA1877 sp002352945
FLY17.007	BACTERIA	0.4	40.85	15.49	1336	2296679	FLY17.007	12	4	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Leadbetterella	Leadbetterella sp002256295
FLY17.008	BACTERIA	0.6	60.56	33.80	1464	2282427	FLY17.008	25	12	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Mucinivorans	Mucinivorans hirudinis
FLY17.009	BACTERIA	0.8	80.28	53.52	3293	4912491	FLY17.009	24	5	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	M3007	M3007 sp006226345
FLY17.010	BACTERIA	0.8	83.10	32.39	1064	2040990	FLY17.010	21	21	Bacteria	None	None	None	None	None	None
FLY17.011	BACTERIA	0.6	71.83	26.76	2216	3669706	FLY17.011	18	3	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Leadbetterella	Leadbetterella sp002256295
FLY17.012	BACTERIA	0.7	66.20	40.85	1725	2628919	FLY17.012	21	7	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingorhabdus	None
FLY17.013	BACTERIA	0.3	45.07	18.31	1807	2794237	FLY17.013	11	2	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavihumibacter	Flavihumibacter sp004295245
FLY17.014	BACTERIA	0.4	36.62	9.86	920	1295900	FLY17.014	10	2	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Prosthecobacter	Prosthecobacter sp002343505
FLY17.015	BACTERIA	0.7	70.42	36.62	2600	3600061	FLY17.015	18	4	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	UBA1936	UBA1936 sp002478575
FLY1.001	BACTERIA	1.0	98.59	11.27	372	2937775	FLY1.001	12	12	Bacteria	Firmicutes	Clostridia	Lachnospirales	None	None	None
FLY1.002	EUKARYA	0.3	24.10	7.23	5565	38773811	FLY1.002	2	2	Archaea	None	None	None	None	None	None
FLY1.003	BACTERIA	1.0	97.18	1.41	278	1814220	FLY1.003	20	3	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	UBA1877	UBA1877 sp002352945
FLY1.004	BLANK	0.6	0.00	0.00	7373	46097900	FLY1.004	0	0	None	None	None	None	None	None	None
FLY1.005	BLANK	0.9	0.00	0.00	7175	34944715	FLY1.005	0	0	None	None	None	None	None	None	None
FLY1.006	BLANK	0.8	0.00	0.00	11100	41309466	FLY1.006	1	1	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	UBA6898	UBA6898	None
FLY1.007	BACTERIA	0.4	46.48	18.31	3737	8173536	FLY1.007	15	4	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Frigididesulfovibrio	Frigididesulfovibrio litoralis
FLY1.008	BACTERIA	1.0	98.59	25.35	1540	6649984	FLY1.008	27	4	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Flectobacillus	Flectobacillus major
FLY1.009	BACTERIA	0.6	61.97	45.07	1353	2017611	FLY1.009	27	11	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Mucinivorans	Mucinivorans hirudinis
FLY1.010	BACTERIA	0.8	77.46	18.31	804	2149918	FLY1.010	23	20	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
FLY1.011	BACTERIA	0.6	57.75	38.03	1805	2614102	FLY1.011	23	23	Bacteria	None	None	None	None	None	None
FLY1.012	BACTERIA	0.8	61.97	4.23	843	1398626	FLY1.012	17	17	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Frigididesulfovibrio	Frigididesulfovibrio cuneatus
FLY1.013	BACTERIA	0.6	63.38	29.58	1038	1645650	FLY1.013	25	17	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	None	None
FLY22.001	BACTERIA	0.3	69.01	49.30	34623	127184203	FLY22.001	6	6	None	None	None	None	None	None	None
FLY22.002	BACTERIA	0.4	52.11	18.31	20353	79020871	FLY22.002	6	2	Bacteria	Firmicutes	Clostridia	Lachnospirales	CAG-274	UMGS1441	UMGS1441 sp900551755
FLY22.003	BACTERIA	0.9	84.51	66.20	3436	5514553	FLY22.003	36	27	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
FLY9.001	EUKARYA	0.5	32.53	7.23	8768	82264851	FLY9.001	2	2	Archaea	None	None	None	None	None	None
FLY9.002	BLANK	0.6	0.00	0.00	9002	66870989	FLY9.002	0	0	None	None	None	None	None	None	None
FLY9.003	BLANK	0.6	0.00	0.00	13272	64569959	FLY9.003	1	1	Bacteria	Nitrospirota	Thermodesulfovibrionia	Thermodesulfovibrionales	UBA6898	UBA6898	None
FLY9.004	BACTERIA	0.6	69.01	8.45	2020	4039621	FLY9.004	23	15	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Mucinivorans	Mucinivorans hirudinis
FLY9.005	BACTERIA	1.0	95.77	5.63	815	6117522	FLY9.005	21	21	Bacteria	Bacteroidota	Bacteroidia	None	None	None	None
FLY9.006	EUKARYA	0.3	21.69	2.41	6941	23821851	FLY9.006	9	4	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Frigididesulfovibrio	Frigididesulfovibrio litoralis
FLY9.007	BACTERIA	1.0	100.00	80.28	1130	4489872	FLY9.007	42	8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Anderseniellaceae	PALSA-927	PALSA-927 sp003151375
FLY9.008	EUKARYA	0.3	13.25	2.41	11691	34741218	FLY9.008	6	6	Bacteria	None	None	None	None	None	None
FLY9.009	BLANK	1.0	0.00	0.00	13672	42212724	FLY9.009	0	0	None	None	None	None	None	None	None
FLY9.010	BACTERIA	0.7	71.83	45.07	2272	5467974	FLY9.010	17	16	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	None	None
FLY9.011	BLANK	1.0	0.00	0.00	13594	33759440	FLY9.011	0	0	None	None	None	None	None	None	None
FLY9.012	BACTERIA	0.6	64.79	26.76	2881	7056505	FLY9.012	9	9	Bacteria	Bacteroidota	Bacteroidia	None	None	None	None
FLY9.013	BACTERIA	0.3	26.76	2.82	13878	28652945	FLY9.013	5	5	Bacteria	None	None	None	None	None	None
FLY9.014	BACTERIA	0.5	36.62	9.86	320	797535	FLY9.014	18	18	Bacteria	None	None	None	None	None	None
FLY9.015	BACTERIA	0.5	63.38	33.80	1027	2606310	FLY9.015	9	9	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	None	None
FLY9.016	BACTERIA	0.7	71.83	49.30	5177	8627846	FLY9.016	16	2	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurospirillaceae	UBA1877	UBA1877 sp002352945
FLY9.017	BACTERIA	0.8	77.46	15.49	1081	1933327	FLY9.017	20	14	Bacteria	Actinobacteriota	Actinomycetia	Propionibacteriales	Nocardioidaceae	Nocardioides	None
FLY9.018	BACTERIA	0.8	85.92	61.97	2002	4163487	FLY9.018	20	13	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	None	None
FLY9.019	BACTERIA	0.4	39.44	26.76	334	587402	FLY9.019	24	12	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	None
FLY9.020	BACTERIA	0.6	59.15	36.62	920	1371854	FLY9.020	25	11	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Hydrogenophaga	None
FLY9.021	BACTERIA	0.7	73.24	35.21	1749	3016068	FLY9.021	27	25	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	None	None
FLY9.022	BACTERIA	0.5	54.93	4.23	519	1012220	FLY9.022	13	13	Bacteria	Firmicutes	Clostridia	Oscillospirales	None	None	None
FLY9.023	BLANK	0.8	0.00	0.00	488	686085	FLY9.023	11	11	Bacteria	None	None	None	None	None	None
FLY9.024	BACTERIA	0.5	47.89	14.08	3201	4887975	FLY9.024	7	2	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rubrivivax	Rubrivivax sp001725505
FLY9.025	BACTERIA	0.5	64.79	50.70	2467	3498960	FLY9.025	18	18	Bacteria	None	None	None	None	None	None
NET15.001	BACTERIA	0.6	59.15	0.00	156	2269363	NET15.001	18	18	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	None
NET15.002	BACTERIA	0.3	32.39	1.41	260	3168073	NET15.002	4	2	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	Microcoleus sp004294385
NET15.003	BLANK	1.0	0.00	0.00	150	722524	NET15.003	1	1	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	Microcoleus sp004294385
NET15.004	BACTERIA	0.6	57.75	8.45	289	827180	NET15.004	7	7	Bacteria	None	None	None	None	None	None
NET15.005	BACTERIA	0.6	54.93	43.66	473	1402450	NET15.005	5	3	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET15.006	BACTERIA	0.6	45.07	22.54	15	126834	NET15.006	3	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET15.007	BLANK	0.9	0.00	0.00	23	105218	NET15.007	0	0	None	None	None	None	None	None	None
NET15.008	BACTERIA	0.6	46.48	14.08	24	116330	NET15.008	5	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET15.009	BACTERIA	0.2	32.39	5.63	2000	4964494	NET15.009	4	3	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae	Microcoleus	None
NET15.010	BACTERIA	1.0	100.00	30.99	1298	9539316	NET15.010	28	7	Bacteria	Myxococcota	Polyangia	Polyangiales	Polyangiaceae	Sorangium	Sorangium cellulosum
NET15.011	BACTERIA	0.3	26.76	18.31	53	124157	NET15.011	4	2	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	PCC-7375	PCC-7375 sp000316115
NET15.012	BACTERIA	0.3	29.58	1.41	5166	8324657	NET15.012	10	7	Bacteria	Cyanobacteria	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae	Pseudanabaena	None
NET15.013	BACTERIA	0.7	69.01	67.61	2282	3514059	NET15.013	29	11	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Rhodoferax	None
NET15.014	BACTERIA	0.3	19.72	5.63	148	302119	NET15.014	2	2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium sp002862755
NET15.015	BACTERIA	0.5	50.70	15.49	1046	2561274	NET15.015	11	9	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	UBA9547	REAG01	REAG01 sp004294265
NET15.016	BACTERIA	0.9	94.37	57.75	2434	5882551	NET15.016	30	17	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Bernardetiaceae	Thermoflexibacter	Thermoflexibacter sp004294445
NET15.017	BACTERIA	0.6	60.56	67.61	3200	5576686	NET15.017	31	11	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	None
NET15.018	BACTERIA	0.3	38.03	7.04	500	1177300	NET15.018	12	5	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	UBA9547	REAG01	REAG01 sp004294265
NET15.019	BACTERIA	0.7	71.83	53.52	1521	2339556	NET15.019	29	6	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Methylotenera	Methylotenera versatilis
